fileID,f1,f2,vot,notes
bi02_kaka,783.18,1573.67,22.16,
bi02_kaka1,751.01,1506.98,33.50,
bi02_kaka2,517.16,1483.86,26.15,
bi02_keke,472.54,2191.83,22.46,
bi02_keke1,468.29,2329.28,24.03,
bi02_keke2,516.70,2236.64,19.40,
bi02_kiki,334.92,2633.94,24.55,
bi02_kiki1,348.52,2670.39,22.11,
bi02_kiki2,338.73,2640.17,15.90,
bi02_koko,617.86,1002.35,32.24,
bi02_koko1,594.89,965.36,32.32,
bi02_koko2,469.55,890.58,25.10,
bi02_kuku,471.80,911.34,18.91,
bi02_kuku1,467.64,917.97,25.70,
bi02_kuku2,294.34,765.39,22.11,
bi02_paka,805.76,1633.69,3.54,
bi02_paka1,732.12,1473.71,11.82,
bi02_paka2,679.30,1622.45,6.83,
bi02_peke,500.73,2264.74,18.12,
bi02_peke1,461.51,2349.75,22.18,
bi02_peke2,487.41,2338.48,12.14,
bi02_piki,358.38,1647.36,17.03,
bi02_piki1,288.19,2476.28,13.26,
bi02_piki2,575.24,2682.57,14.42,
bi02_poko,581.06,919.14,15.58,
bi02_poko1,580.26,948.78,12.49,
bi02_poko2,567.13,1058.16,14.52,
bi02_puku,506.83,898.78,24.38,
bi02_puku1,461.25,866.07,4.25,
bi02_puku2,448.60,802.34,18.59,
bi02_taka,814.28,1551.35,4.31,
bi02_taka1,744.68,1527.25,10.82,
bi02_taka2,531.90,1451.78,16.13,
bi02_teke,529.28,2217.34,12.49,
bi02_teke1,464.94,2336.30,12.76,
bi02_teke2,390.46,1712.11,11.84,
bi02_tiki,647.64,2404.66,10.79,
bi02_tiki1,346.00,2751.28,12.21,
bi02_tiki2,511.54,1763.09,24.75,
bi02_toko,495.31,885.93,2.32,
bi02_toko1,540.73,965.41,11.52,
bi02_toko2,604.69,1000.63,12.65,
bi02_tuku,472.58,961.42,12.49,
bi02_tuku1,466.53,931.76,10.27,
bi02_tuku2,519.02,835.25,12.38,
