fileID,f1,f2,vot,notes
ne03_kaka,787.23,1793.60,28.10,
ne03_kaka1,819.31,1723.30,31.75,
ne03_kaka2,875.10,1311.05,41.53,
ne03_keke,613.08,2639.93,34.00,
ne03_keke1,575.35,1856.31,31.89,
ne03_keke2,563.89,2513.54,42.10,
ne03_kiki,524.21,2724.14,37.45,
ne03_kiki1,396.31,2223.50,16.71,
ne03_kiki2,377.94,2795.15,7.38,
ne03_koko,505.66,1071.41,15.19,
ne03_koko1,539.02,1202.59,32.79,
ne03_koko2,579.16,1092.66,39.80,
ne03_kuku,521.80,1002.63,50.43,
ne03_kuku1,467.85,1072.56,61.23,
ne03_kuku2,414.37,1056.61,48.09,
ne03_paka,856.88,1763.18,12.70,
ne03_paka1,743.37,1813.40,30.78,
ne03_paka2,762.05,1890.45,7.99,
ne03_peke,549.51,1714.59,9.83,
ne03_peke1,752.75,2472.28,34.01,
ne03_peke2,595.15,2221.66,20.02,
ne03_piki,365.08,2779.55,10.04,
ne03_piki1,378.88,2029.75,35.15,
ne03_piki2,390.53,2158.38,15.19,
ne03_poko,638.96,1120.04,11.58,
ne03_poko1,590.00,1178.63,34.56,
ne03_poko2,594.94,1100.12,37.23,
ne03_puku,460.02,1072.87,31.84,
ne03_puku1,424.32,962.90,47.60,
ne03_puku2,482.69,984.26,7.38,
ne03_taka,640.45,1240.91,25.96,
ne03_taka1,861.93,1734.87,21.52,
ne03_taka2,527.75,957.23,22.80,
ne03_teke,577.00,1518.99,35.60,
ne03_teke1,572.57,1858.34,31.11,
ne03_teke2,564.18,1688.81,27.35,
ne03_tiki,381.70,2787.96,44.92,
ne03_tiki1,378.38,1507.38,76.97,
ne03_tiki2,416.35,1673.19,31.76,
ne03_toko,617.97,1098.87,33.38,
ne03_toko1,635.59,1204.97,39.11,
ne03_toko2,543.16,1085.72,36.61,
ne03_tuku,445.69,1094.78,45.98,
ne03_tuku1,429.00,1050.45,56.74,
ne03_tuku2,479.00,1120.22,43.44,
